ID,Base_FormatAuto,Base_OCR,Base_Semantics,Base_Avg,Ckpt75_FormatAuto,Ckpt75_OCR,Ckpt75_Semantics,Ckpt75_Avg,Ckpt140_FormatAuto,Ckpt140_OCR,Ckpt140_Semantics,Ckpt140_Avg,Judge_Reason
11,1,2,3,2.0,8,7,8,7.6667,8,9,9,8.6667,"模型A输出不完整，在第二部分中途截断，严重影响了信息完整性。模型B和C都准确理解了图片内容。模型B在文字提取部分表现更佳，详细列出了案卷类型、物质种类等列表信息，虽然遗漏了个别项（如Domestic Violence, Asian or Pacific Islander），但信息密度远高于模型C。模型C的提取较为概括。模型B的视觉描述准确，关键词虽为英文但针对英文文档是合理的。综合来看，模型B提供了最详尽和有用的信息。"
12,8,7,8,7.6667,8,10,9,9.0,8,8,8,8.0,"模型C在OCR方面表现最佳，几乎完整提取了图片中的所有文本内容，包括长段落和表格细节，且保持了原文的连贯性。模型B提取了关键信息并进行了结构化整理，但部分长文本使用了省略号。模型A虽然提取了大量关键词和表格数据，但正文部分主要以单词罗列形式呈现，缺乏连贯性。在语义理解方面，三个模型都准确识别了图片类型（ePledge系统帮助文档）和核心功能，但模型C的摘要和视觉描述最为详尽，涵盖了Transactions部分的具体操作细节（如add a pledge, send email等），视觉描述也准确指出了下划线标题等细节。"
13,8,3,7,6.0,8,7,9,8.0,8,7,8,7.6667,模型A的OCR部分仅提取了关键词和数字，未提取正文句子，得分较低；但其语义理解准确。模型B和C的OCR提取了大部分正文，但都遗漏了第一段的后半部分（关于空调需求和注入减少的内容），因此OCR得分中等。在语义方面，模型B将Henry Hub翻译为“亨利港”（应为亨利枢纽），存在轻微的事实性错误；模型C翻译准确且摘要详细，表现最好。
14,8,8,8,8.0,8,8,8,8.0,8,9,9,8.6667,模型 B 表现最佳。在 OCR 方面，模型 B 不仅准确提取了复杂的数学公式，还捕捉到了页面底部的过渡句（'Let us now calculate...'），完整性较好。在语义方面，模型 B 的关键词使用了英文，与文档语言一致，且包含了 'Bachelor thesis' 这一关键元数据（文中多次提及），分类和摘要准确。模型 A 表现良好但略显简略，未提取底部文字。模型 C 虽然对定义部分的文本提取较详细，但存在视觉幻觉（将英文衬线字体误判为'宋体'），且关键词未包含 'Bachelor thesis'，遗漏了底部文字。
15,8,9,9,8.6667,8,7,8,7.6667,8,7,8,7.6667,模型 C 在 OCR 和语义理解上表现最佳。模型 A 和 B 均错误地将 Y 轴单位识别为 'kN'（图像显示为 'Load(N)'，且数值量级为几千，符合牛顿单位），这是一个明显的事实错误。模型 C 避免了此错误，并且在分类部分更准确地指出了这是关于“螺钉连接”的研究，而模型 A 使用了“推测”一词，显得不够自信。尽管模型 C 的输出包含一些格式噪音且缺少关键词部分，但其核心内容的准确性和信息量最高。
16,8,8,8,8.0,8,7,8,7.6667,8,10,9,9.0,模型 B 在 OCR 方面表现最佳，它不仅提取了标题、图表标签和表格数据，还完整提取了正文段落和页脚详细信息（包括传真号），展现了极高的数据提取完整度。模型 A 和 C 虽然也提取了关键信息，但忽略了正文段落的详细文字。在语义理解方面，三个模型都准确识别了图片内容（物理光学实验指导），但模型 B 的中文摘要中出现了一处明显的翻译/拼写错误（'非ius刻度尺'，应为 Nonius/非纽斯），因此语义分略低于满分，但整体仍优于其他模型。
17,8,7,8,7.6667,8,9,9,8.6667,8,7,8,7.6667,"模型 B 在 OCR 方面表现最好，它不仅提取了标题、核心观点和表格标题，还准确提取了正文右侧列出的具体倡议列表（如 FSC, FLEGT, MSC, Kimberley, EITI, Better Coal 及其年份），这是模型 A 和 C 遗漏的重要信息。在视觉描述上，模型 B 准确将中间蓝色文字描述为“斜体文本块”，而模型 A 和 C 错误地描述为“手写体风格”。模型 B 的语义摘要也最为详尽。"
18,8,7,7,7.3333,8,8,9,8.3333,8,8,8,8.0,模型 A 和 B 在 OCR 和语义理解上都表现良好，提取了关键的标题、图例和来源信息，并且都捕捉到了顶部关于 Figure 12 的说明文字。模型 A 的视觉细节描述更加准确，正确地将图表区域定位在页面中部，并清晰描述了左右布局。模型 B 的摘要非常详细（提到了 ESG 和双重经济性质），但在视觉描述中称 Figure 11 为“左下”、Figure 12 为“右上”，这与实际布局（均为中部左右排列）略有出入，因此语义分略低。模型 C 遗漏了顶部的说明文字，视觉描述中的方位（“左上”、“右上”）不准确，且对于英文文档提供了中文关键词，检索实用性稍弱。
19,8,9,9,8.6667,1,1,2,1.3333,8,7,8,7.6667,模型A输出严重截断，未完成，得分极低。模型B和模型C在语义理解上都表现良好，准确识别了文档类型和结构。在OCR方面，模型B优于模型C。模型B不仅提取了第一部分的样本条目，还详细提取了资本、水务、信托和开发商保证金等下半部分的具体条目。相比之下，模型C虽然提取了较多第一部分的条目，但对于下半部分仅提取了标题和总计，遗漏了具体的明细行，信息密度不如模型B。
20,8,6,9,7.6667,8,10,9,9.0,8,10,9,9.0,模型 A 和 C 在 OCR 方面表现优秀，准确提取了标题、页码以及 Logo 中的文字信息（包括 'SO' 和大学全称）。模型 B 的 OCR 部分包含了图片中不存在的文本（如缩写 'SOU' 和中文翻译 '俄勒冈南方大学'），因此得分较低。在语义理解方面，三个模型都准确识别了图片类型、核心内容和布局。模型 B 对底部红黑条纹的描述（'横条'）比 A 和 C（'细黑线'）更准确，但鉴于 OCR 的显著差异，整体评价 A 和 C 优于 B。
21,8,7,8,7.6667,8,8,9,8.3333,8,9,10,9.0,"模型 A 提取了最丰富的信息，包括决策树中的具体变量（如 e0, a0 等）和图 6 中的数值，且准确提取了正文段落，尽管将 'VoI' 误识为 'Vol'，但整体完整度最高。模型 B 提取了正文和表格，但遗漏了决策树细节和图 6 数值，且将 VoI 解释为 'opportunity cost' 略有偏差。模型 C 遗漏了正文段落和图表细节，提取内容较少。"
22,8,7,8,7.6667,8,9,9,8.6667,8,9,8,8.3333,模型 A 在视觉描述（坐标轴、布局）和 OCR 提取上都非常准确且详细，虽然底部文本提取略有截断，但整体质量最高。模型 B 的 OCR 提取非常完整（包括底部完整句子），但在视觉描述中将纵轴变量 x 误描述为 'x-axis'（通常指横轴），存在明显的视觉理解瑕疵。模型 C 的 OCR 部分对参考文献进行了概括（'... (参考文献列表)'），不如 A 和 B 详细，但语义理解尚可。
23,8,8,7,7.6667,8,9,9,8.6667,8,9,8,8.3333,模型A和C的OCR提取非常准确，涵盖了时间轴和环形图的所有关键信息。模型B的OCR也基本准确，但格式稍显杂乱。在语义理解方面，模型C表现最好，准确描述了视觉细节（如颜色与模块的对应），且没有犯数量错误。模型A在摘要中错误地提到“十大核心功能模块”（实际为11个扇区），模型B在视觉细节中错误地提到“12个不同颜色的扇形区域”。因此C > A > B。
24,8,7,9,8.0,8,7,9,8.0,8,8,9,8.3333,模型 C 在 OCR 方面表现最好，因为它是唯一提取了表格之间 explanatory text（解释性文本段落）的模型，这些段落提供了关于“per-dwelling unit”（每户）等关键上下文信息。虽然模型 C 遗漏了表格单元格中的微小百分比数值，且表格表头提取略显扁平化，但提取出大段解释性文字使其内容完整性高于 A 和 B。模型 A 和 B 均遗漏了这些段落，尽管它们准确提取了表格内的百分比数据。三个模型在语义理解（分类、摘要、视觉描述）方面都非常准确且高质量。
25,8,9,9,8.6667,8,8,9,8.3333,8,7,7,7.3333,模型 B 表现最佳。在 OCR 方面，模型 B 不仅提取了标题和参数名，还完整提取了正文段落的内容，信息量最大。在语义理解方面，模型 B 准确描述了图表图例（实线方块与虚线菱形），且没有空间布局上的错误。模型 C 表现也很好，准确指出了图表是“垂直排列”的，但在 OCR 部分遗漏了正文的具体内容，只提取了引用。模型 A 表现最差，在视觉描述中错误地称两个图表为“并排”（实际上是上下垂直排列），且 OCR 部分遗漏了页脚的完整引用信息和正文内容，关键词中使用了“香蕉皮/菠萝皮”而非原文的“Banana/Pineapple Waste”，精确度略低。
26,8,7,8,7.6667,8,9,9,8.6667,8,6,8,7.3333,"模型 A 在 OCR 方面表现最佳，尤其是对占据页面主体的表格内容提取非常完整，准确列出了几乎所有法规代码及其对应的主题（Code + Topic），这是该文档的核心信息。虽然模型 A 在文本段落提取中遗漏了具体日期（August 8, 2016）和部分员工回复细节，但其整体信息覆盖度远高于其他模型。模型 B 虽然提取了日期，但在表格部分仅提取了代码数字，丢失了具体的法规主题描述，信息量不足。模型 C 遗漏了表格中近一半的行，完整性较差。三个模型在语义理解（分类、摘要）方面都表现良好，准确识别了文档类型和意图。"
27,8,9,8,8.3333,8,9,9,8.6667,8,8,8,8.0,模型 B 表现最佳。在 OCR 方面，模型 A 和 B 都完整且准确地提取了正文段落，而模型 C 仅提取了关键词片段，丢失了句法结构，尽管 C 捕捉到了顶部的 'diameter.' 一词。在语义理解方面，模型 B 对图表 (c) 的视觉细节描述最为精准（指出了黑色方块和红色圆点标记），而模型 A 仅提到红色折线，略显单薄。模型 B 对 Y 轴范围的描述略有概括（未涵盖图 c 的 0 起点），但整体信息量最大。
28,0,7,8,5.0,5,3,6,4.6667,8,9,9,8.6667,模型B在OCR和语义理解上表现最佳。它完整且结构化地提取了两个图表的所有关键文本（包括标题、坐标轴刻度、图例和X轴标签），并且准确指出了两个图表X轴标签顺序的不同。语义描述也非常详细，准确分析了图表的双Y轴设计和数据趋势。模型C表现尚可，提取了主要标签，但不如B详细，且未区分两个图表X轴顺序的差异。模型A的OCR提取严重不完整，仅提取了部分第一个图表的内容，语义描述也相对简略。
29,8,10,10,9.3333,8,9,9,8.6667,5,1,1,2.3333,模型 A 和 B 都提供了高质量的回答。模型 B 略胜一筹，因为它在视觉细节描述中准确指出了表格中蓝色的是注释标号（superscripts），而模型 A 错误地描述脚注文本本身为蓝色。此外，模型 B 使用 Markdown 表格呈现数据，结构更清晰。模型 C 的输出在脚注处截断，缺失了脚注内容、底部信息和关键词，属于严重的不完整输出。
30,5,6,8,6.3333,8,7,9,8.0,8,8,9,8.3333,模型C在OCR方面表现最好，提取了最长且连贯的正文段落，特别是关于生产工艺的复杂长句提取准确。模型A虽然提取了第一段全文，但在第二段中途截断，完整性较差。模型B提取了关键信息点，但不如C连贯。在语义理解方面，模型B和C都很出色。模型B的视觉描述（线条样式）非常精确；模型C的摘要非常全面，涵盖了财务、产品、工艺等细节，尽管对内部销售趋势的描述（'较平缓'）略显不够精确（实际是下降），但整体信息量最大。
31,5,4,7,5.3333,8,9,9,8.6667,8,4,7,6.3333,模型 B 在 OCR 方面表现最佳，它是唯一提取了表格中详细事件描述文本（第三列内容）的模型，而模型 A 和 C 仅提取了地点名称，遗漏了主要的文本信息。在语义理解上，模型 B 的摘要非常详尽且准确，涵盖了历史背景和具体事件。虽然模型 C 在视觉细节中正确指出了表格有三列（模型 A 和 B 描述为两列），但由于其 OCR 缺失严重，整体实用性不如模型 B。
32,8,7,8,7.6667,8,9,9,8.6667,8,8,9,8.3333,模型A在OCR提取上最为准确，正确识别了货币符号（如£p），且对表格颜色的描述（浅蓝、浅灰、浅黄）非常细致。模型B虽然语义描述很好（如线条颜色识别为粉色更准确），但在OCR上将'£p'误识为'Ep'，且提取了被截断的'Daily %'列头（虽有推断合理性但非完全可见）。模型C整体表现良好但细节略少（如遗漏页码，表格颜色描述过于简化）。
33,8,10,9,9.0,8,10,10,9.3333,8,10,9,9.0,三个模型在OCR方面都表现完美，准确提取了所有关键文本。在语义理解方面，模型A的描述最为流畅且细节丰富，特别是对图标含义的解读（如'手机与包裹代表App通知'）非常准确且有助于理解。模型B和C的内容也很准确，但模型B在文字提取部分使用了类似'标题与页眉'的固定标签，虽然内容正确，但略显生硬；模型C使用分号分隔文本，可读性稍逊于A。综合来看，模型A在自然语言描述和信息整合上略胜一筹。
34,8,8,8,8.0,8,10,9,9.0,8,8,8,8.0,模型 B 在 OCR 方面表现最佳，它不仅提取了主要的标题和表格内容，还准确捕捉到了房屋示意图旁边的小字标注（如 'WALLS ~ Max U Value 0.27' 等），这是模型 A 和 C 遗漏的细节。在语义理解方面，三个模型都准确识别了文档类型、核心意图和视觉布局，但模型 B 还注意到了页码 '3'，细节更丰富。
35,8,10,10,9.3333,0,10,10,6.6667,8,5,9,7.3333,"模型 A 和 B 在 OCR 和语义理解方面都表现出色。它们都准确提取了文档的完整内容，包括标题、正文条款（WHEREAS）、决议部分（NOW, THEREFORE）以及具体的 Section 1, 2, 3 的详细内容。语义摘要准确概括了文件的核心意图（关于合并的咨询性措施）。模型 C 在 OCR 部分存在明显缺失，它只列出了 Section 1, 2, 3 的标题，而遗漏了具体的条款内容，因此 OCR 得分较低。"
36,8,4,7,6.3333,8,6,9,7.6667,8,9,8,8.3333,模型A的OCR表现最佳，不仅准确提取了表格中的键值对（虽然格式稍显紧凑），还完整提取了正文中的关键数值（如分辨率267x355x355），信息覆盖度高。其语义理解准确，摘要逻辑清晰，但略微忽略了中间关于STACOM数据集回顾的段落细节。模型B的OCR存在严重缺陷，完全遗漏了表格中的数值列，仅提取了参数名，导致关键信息缺失；其语义摘要尚可，但视觉描述过于笼统。模型C的语义理解最为深入，摘要中涵盖了具体的序列数量（10个）及中间段落的配准效果，视觉描述也最为细致（提到了参考文献标记）；但其OCR部分遗漏了正文中的关键数值（分辨率等），且表格值的提取方式（单独列出）不如模型A的键值对应直观。
37,5,4,8,5.6667,8,7,8,7.6667,8,10,9,9.0,模型 C 在 OCR 方面表现最佳，提取了几乎所有的子指标和完整的步骤文本（Step 2-10），包括最后的结论细节。模型 A 仅提取了部分子指标和步骤的关键句，虽然语义理解准确，但文字提取不够完整。模型 B 的输出在 OCR 部分被截断（以 'Size of the' 结尾），导致信息缺失严重。
38,8,7,8,7.6667,8,9,9,8.6667,8,8,9,8.3333,模型B在OCR方面表现最佳，不仅提取了正文的关键句子，还准确捕捉了截图中的具体数值（如温度值86.67和84.74）以及详细的配置信息（如IP地址）。模型C在技术参数提取上很准确，但在截图细节（如第二个温度值和截图中的IP）上略有遗漏。模型A提取了主要关键词，但缺乏上下文结构，且遗漏了截图中的具体数值。三个模型的语义理解都很准确。
39,5,8,7,6.6667,8,8,8,8.0,8,9,9,8.6667,"Model A provides the most balanced and comprehensive analysis. It correctly identifies the document type, summarizes the content well, describes the visual layout including the text body at the bottom, and extracts key text information effectively (including a coherent sentence from the text body and key data points from the chart). Model B is similar but its text extraction snippet is less coherent (a list of terms rather than text). Model C has very precise extraction of the flowchart data but fails to describe the text body in the visual section and omits the footer and body text in the extraction, treating the image solely as a chart rather than a full page."
40,8,9,9,8.6667,8,7,8,7.6667,8,7,8,7.6667,模型 B 在 OCR 方面表现最佳，提取的文字最全面且准确。它正确识别了 R2、35TH、39TH 等容易被遗漏的文字，并且正确识别了 CSd（模型 C 误识为 C5d）。虽然模型 B 遗漏了底部的 S.W. GARDEN CT.，但整体准确率远高于 A 和 C。模型 A 遗漏了 R2、39TH 等关键信息。模型 C 存在明显的 OCR 错误（C5d）和解析混乱（单独列出 AVE.）。在语义理解方面，三个模型都准确识别了图片类型和核心内容，但模型 B 结合元数据推断出了具体的地理位置（俄勒冈州、波特兰），提供了更有价值的信息。
41,5,10,8,7.6667,8,8,9,8.3333,8,7,7,7.3333,模型 A 在 OCR 方面表现最佳，几乎完整提取了信件的所有内容，包括正文解释部分和页脚信息，但在视觉细节描述中存在轻微误差（将仅下划线的文本描述为加粗并下划线），且缺少关键词部分。模型 C 在语义理解上表现最好，准确区分了文本的加粗和下划线格式，并在摘要中包含了具体的咨询日期，其 OCR 提取了关键实体和句子但遗漏了部分正文内容。模型 B 表现中规中矩，OCR 提取较为简略，视觉描述不够精确。
42,8,5,8,7.0,8,8,9,8.3333,8,9,9,8.6667,"模型 C 在 OCR 提取方面表现最佳，它不仅提取了关键数值，还将数值与对应的标签（如 '253,200 (Jobs recovered since May 2020)'）进行了结构化配对，这对于信息图表至关重要。模型 A 也提取了数值，但将数值和文本片段分开列出，可读性稍逊。模型 B 在 OCR 部分严重缺失，仅列出了文本标签而遗漏了图表中最重要的具体金额和统计数据（如 $3.34B, $52.2B 等），这是一个重大失误。在语义理解方面，三个模型都准确识别了图片类型和核心内容，但模型 C 对布局的描述（四象限）和图表类型（环形图）更为精准。"
44,8,5,7,6.6667,0,3,4,2.3333,8,9,9,8.6667,"Model A follows the instructions perfectly, providing a comprehensive description, accurate text extraction (including detailed table data), and a precise semantic summary. Model B follows the format but its text extraction is very sparse, acting more like a tag cloud with isolated numbers and headers rather than extracting the key text information. Model C fails to generate the requested description text, instead outputting a raw chain-of-thought process with internal monologue ('User wants...', 'Correction thinking...'), which violates the task of generating a clean final answer, despite containing some correct analysis of the content."
45,0,10,10,6.6667,0,10,10,6.6667,0,6,9,5.0,模型 A 和 C 的 OCR 提取非常完整且准确，涵盖了所有条款和菜单细节（包括重量和价格），而模型 B 遗漏了菜单后半部分的大量数据（如量杯、甜点、果汁的重量以及早餐的所有重量信息），且截断了第 4 条条款。在语义理解方面，三个模型都准确识别了文档类型和核心内容，但 A 和 C 基于完整的数据提取提供了更详实的描述。模型 A 提供了 11 个关键词（略多于要求的 10 个），模型 C 严格遵守了 10 个关键词的要求，两者表现均优异。
46,8,4,7,6.3333,8,8,8,8.0,8,6,8,7.3333,模型 B 在 OCR 方面表现最好，完整提取了规格表（Specifications）中的所有关键数据（包括不同安装方式下的承重），而模型 A 遗漏了倒装和峰值负载数据，模型 C 的提取过于稀疏，仅列出了标题。在语义理解方面，三个模型都能准确概括文档意图和视觉布局，但模型 B 凭借更完整的数据提取提供了更高质量的信息。
47,8,9,9,8.6667,8,8,8,8.0,8,7,6,7.0,模型B表现最佳。在OCR方面，模型B不仅准确提取了所有关键文本，包括复杂的数学公式（特别是正确识别了根号的范围），而且采用了清晰的结构化列表形式，符合‘罗列’的要求。在语义理解方面，模型B准确描述了表格内容，并且对视觉细节（蓝色高亮）的描述最为严谨（‘部分关键数值’），避免了模型A的错误（模型A错误地声称所有置信区间都是蓝色的，而图中大部分是黑色的）。模型C表现也不错，但在公式转录的准确性上略逊于模型B（根号范围识别有误）。
